2024-07-14 15:02:45,708 - inference - INFO - training started...
2024-07-14 15:13:56,674 - inference - INFO - training started...
2024-07-14 15:23:39,140 - inference - INFO - BRBY.L: exp profit=0.07911654067895588, MSE=0.08905103894347749
2024-07-14 15:23:46,913 - inference - INFO - CNA.L: exp profit=-0.0020213498618895263, MSE=0.10626026785670128
2024-07-14 15:23:49,635 - inference - INFO - CCH.L: exp profit=0.07592444339965168, MSE=0.06930091392160241
2024-07-14 15:23:55,566 - inference - INFO - CPG.L: exp profit=0.06189522450302364, MSE=0.043689810232806485
2024-07-14 15:24:04,102 - inference - INFO - CRDA.L: exp profit=0.08388639083643873, MSE=0.05382093419703846
2024-07-14 15:24:09,497 - inference - INFO - DCC.L: exp profit=0.02640612694765107, MSE=0.04055696145141636
2024-07-14 15:24:16,822 - inference - INFO - DGE.L: exp profit=0.04649819358430291, MSE=0.02198569375593603
2024-07-14 15:24:27,271 - inference - INFO - DPLM.L: exp profit=0.05350938282114505, MSE=0.04081236686598376
2024-07-14 15:24:32,377 - inference - INFO - ENT.L: exp profit=0.07769734919821406, MSE=0.1258407554047063
2024-07-14 15:24:38,211 - inference - INFO - EZJ.L: exp profit=1.0735132204640896e-05, MSE=0.1856233755194723
2024-07-14 15:24:41,772 - inference - INFO - EXPN.L: exp profit=0.09890017558509255, MSE=0.027015021540295003
2024-07-14 15:24:51,513 - inference - ERROR - Error in predicting FCIT.L: Input X contains NaN.
SelectKBest does not accept missing values encoded as NaN natively. For supervised learning, you might want to consider sklearn.ensemble.HistGradientBoostingClassifier and Regressor which accept missing values encoded as NaNs natively. Alternatively, it is possible to preprocess the data, for instance by using an imputer transformer in a pipeline or drop samples with missing values. See https://scikit-learn.org/stable/modules/impute.html You can find a list of all estimators that handle NaN values at the following page: https://scikit-learn.org/stable/modules/impute.html#estimators-that-handle-nan-values
2024-07-14 15:24:57,478 - inference - INFO - FLTR.L: exp profit=0.045819927053336505, MSE=0.08521678318606044
2024-07-14 15:25:02,757 - inference - INFO - FRAS.L: exp profit=0.3625893069845389, MSE=0.10250307270244036
2024-07-14 15:25:06,940 - inference - INFO - FRES.L: exp profit=-0.07915136882127216, MSE=0.07076374588272107
2024-07-14 15:25:09,841 - inference - INFO - GLEN.L: exp profit=-0.0022894021829936023, MSE=0.09556357189200002
2024-07-14 15:25:17,679 - inference - INFO - GSK.L: exp profit=0.03896522757177636, MSE=0.01755802509643065
2024-07-14 15:25:25,667 - inference - INFO - HLMA.L: exp profit=0.06194145785842694, MSE=0.03368071910992611
2024-07-14 15:25:30,409 - inference - INFO - HIK.L: exp profit=0.09187988673557965, MSE=0.06436039409457699
2024-07-14 15:25:37,834 - inference - INFO - HWDN.L: exp profit=0.019257146086627076, MSE=0.0585042368374392
2024-07-14 15:25:47,116 - inference - INFO - HSBA.L: exp profit=0.08236369709859503, MSE=0.04844930663719545
2024-07-14 15:25:51,846 - inference - INFO - IHG.L: exp profit=0.028948302173641367, MSE=0.037549401117609016
2024-07-14 15:26:00,040 - inference - INFO - IMI.L: exp profit=0.036909901981469345, MSE=0.05479075843706264
2024-07-14 15:26:05,645 - inference - INFO - IMB.L: exp profit=0.06424575524734827, MSE=0.019982325472791957
2024-07-14 15:26:11,827 - inference - INFO - INF.L: exp profit=0.033029976811351044, MSE=0.06455955693273963
2024-07-14 15:26:16,534 - inference - INFO - IAG.L: exp profit=-0.03335268813585043, MSE=0.17530942589762194
2024-07-14 15:26:21,530 - inference - INFO - ITRK.L: exp profit=0.08569924252921887, MSE=0.0376359774812724
2024-07-14 15:26:27,991 - inference - INFO - JD.L: exp profit=0.08185449442142013, MSE=0.11863203598112694
2024-07-14 15:26:37,354 - inference - INFO - KGF.L: exp profit=0.06189387241983911, MSE=0.059681640552434995
2024-07-14 15:26:46,156 - inference - INFO - LAND.L: exp profit=0.038162984547820064, MSE=0.055626898232562505
2024-07-14 15:26:54,056 - inference - INFO - LGEN.L: exp profit=0.06740716301448152, MSE=0.036102872795267
2024-07-14 15:27:00,722 - inference - INFO - LLOY.L: exp profit=-0.0250359876821632, MSE=0.08397219988307777
2024-07-14 15:27:05,773 - inference - INFO - LSEG.L: exp profit=0.1147625266210342, MSE=0.02615690294551994
2024-07-14 15:27:14,639 - inference - INFO - MKS.L: exp profit=0.03180281105312425, MSE=0.13517627446376992
2024-07-14 15:27:20,442 - inference - INFO - MRO.L: exp profit=0.20423232498979838, MSE=0.182933585856436
2024-07-14 15:27:24,281 - inference - INFO - MNDI.L: exp profit=0.0647561558365504, MSE=0.037394179722373536
2024-07-14 15:27:30,516 - inference - INFO - NG.L: exp profit=0.023794166757804283, MSE=0.015924127527297507
2024-07-14 15:27:43,128 - inference - INFO - NWG.L: exp profit=0.02597598765643272, MSE=0.10752266008661342
2024-07-14 15:27:51,517 - inference - INFO - NXT.L: exp profit=0.11463176626785328, MSE=0.060230469126072606
2024-07-14 15:27:54,291 - inference - INFO - OCDO.L: exp profit=0.19692137686443373, MSE=0.19613079251043425
2024-07-14 15:28:02,036 - inference - INFO - PSON.L: exp profit=0.03873739100927218, MSE=0.051536215180555685
2024-07-14 15:28:10,519 - inference - INFO - PSN.L: exp profit=0.01313307000504016, MSE=0.08685889530327556
2024-07-14 15:28:14,417 - inference - INFO - PHNX.L: exp profit=0.037597875298603464, MSE=0.024164235589953592
2024-07-14 15:28:26,355 - inference - INFO - PRU.L: exp profit=0.0632270962163019, MSE=0.06246112251267458
2024-07-14 15:28:35,054 - inference - INFO - RKT.L: exp profit=0.0510046795714388, MSE=0.022621863751018587
2024-07-14 15:28:43,572 - inference - INFO - REL.L: exp profit=0.053898560005651186, MSE=0.014175894911820822
2024-07-14 15:28:52,119 - inference - INFO - RTO.L: exp profit=0.05003682796108166, MSE=0.039348105062138726
2024-07-14 15:28:56,019 - inference - INFO - RMV.L: exp profit=0.14551871800959454, MSE=0.05018974645004054
